review_id,sentence_id,Time,sentence_type,sentence
1532,68,28-07-2011 00:00,s,"""Was decent"""
1532,69,28-07-2011 00:00,p,"""Good Brand name and nothing else"""
1532,70,28-07-2011 00:00,c,"""Expectations are way too unreachable!"""
1531,72,04-08-2011 00:00,s,"""Great Work Culture"""
1531,73,04-08-2011 00:00,p,"""Huge data volumes Complex data challenges Exposure to multiple technologies"""
1529,75,16-08-2011 00:00,s,"""Burn out"""
1529,76,16-08-2011 00:00,p,"""Opportunity to work on massive scalability problems Working on forefront of online retail on global scale"""
1529,77,16-08-2011 00:00,c,"""Brown out, Burn out On call schedule is taxing, high operational load Less work and more bragging gives you good raise Hardly a place for introvert/reserved geeks no matter what they do or can deliver"""
1530,79,19-08-2011 00:00,s,"""Simply superb"""
1530,80,19-08-2011 00:00,p,"""It was a nice place to work and the environment was really really good, got may friends and many more to say"""
1530,81,19-08-2011 00:00,c,"""Nothing special or point-able to say, need to share about your future plans to the employees, new plans has to be discussed with all the employees..."""
1528,83,22-08-2011 00:00,s,"""Come Build Your Career! The World Respects Amazon.com"""
1528,84,22-08-2011 00:00,p,"""Depending on the functional group you work, your experiences may differ. Clearly, Amazon is a engineers driven company - Extremely sharp people. Some of the best you can find. - Some of them are very creative in problem solving - Generally, a very cohesive work group. - If you want to work on cutting edge stuff, this is the place. Tons of resume value. Trust me, folks outside respect the Amazon talent …  . Show More"""
1526,86,23-11-2011 00:00,s,"""fresher"""
1526,87,23-11-2011 00:00,p,"""good oppurtunity for future growth"""
1527,89,29-11-2011 00:00,s,"""If you are not able to crack an equivalent option immediately, stick around till you prepare for interviews"""
1527,90,29-11-2011 00:00,p,"""You have to do everything yourself. Its almost like working in a start up."""
1527,91,29-11-2011 00:00,c,"""They are so bloody frugal that a developer has to play the role of a PM, QA,SDE-T,build engineer and all others, which leaves no time for development."""
1525,93,05-12-2011 00:00,s,"""Very hectic"""
1525,94,05-12-2011 00:00,p,"""Good place with lots of +ve energy"""
1525,95,05-12-2011 00:00,c,"""Will not find time for family. Health needs lot of care. Will not have time"""
1524,97,28-01-2012 00:00,s,"""Great place for fast growing career"""
1524,98,28-01-2012 00:00,p,"""- Rapid professional growth if you are upto some hard work. - Development of business accumen as a side benefit - Good senior leadership"""
1524,99,28-01-2012 00:00,c,"""- Young dev team - they need a lot of mentoring - Above average attrition to Seattle - High work load"""
1523,101,05-03-2012 00:00,s,"""Weak Senior Management, No growth opportunities and flawed appraisal system."""
1523,102,05-03-2012 00:00,p,"""* Provides Good Benefits compared to the other companies for the same job role. * Has great opportunities in other departments such as IT or Software Development."""
1523,103,05-03-2012 00:00,c,"""* Unsupportive Senior Management. * Flawed appraisal system * Negligible growth opportunities. * Needs more experienced management. * More clarity on growth process."""
1522,105,11-03-2012 00:00,s,"""Amazing experience, they are highly knowledgeable"""
1522,106,11-03-2012 00:00,p,"""Good and Supporting Staff, they neglect your mistakes and focus what you are good at."""
1520,108,26-03-2012 00:00,s,"""A great competitive place to work at"""
1520,109,26-03-2012 00:00,p,"""- A vibrant and smart internal community to interact with - Customer-oriented and goal-driven focused work - Flatter hierarchy and easier approachability of people higher in the ladder"""
1521,111,28-03-2012 00:00,s,"""Good, but could be better"""
1521,112,28-03-2012 00:00,p,"""1. smart collegues 2. good pay and stock options 3. learn new technologies"""
1521,113,28-03-2012 00:00,c,"""Middle level managers are not that good in people management. Some non-technical managers spoil the fun."""
1519,115,29-03-2012 00:00,s,"""Exp Review"""
1519,116,29-03-2012 00:00,p,"""great place to work for women very comfortable environment good transportation & employee benefits"""
1518,118,02-04-2012 00:00,s,"""Company work culture reflect its slogan"""
1518,119,02-04-2012 00:00,p,"""1) Good work 2) Enough opportunity 3) Good Salary"""
1518,120,02-04-2012 00:00,c,"""1) Focus on only Work 2) No Family life"""
1512,122,25-04-2012 00:00,s,"""Not interested in write up :P"""
1512,123,25-04-2012 00:00,p,"""Carrier growth, Package, Intelligent peers, Excellent management, Big name, Flexibility, highly competitive environment."""
1512,124,25-04-2012 00:00,c,"""Work pressure, Less increment, Large time gap between promotions"""
1515,126,27-04-2012 00:00,s,"""Good with concerns"""
1515,127,27-04-2012 00:00,p,"""Quality of work is good, it is very fast growing changing environment so lots of opportunity to grow and learn new things. Good compensation, they give exactly what they promise on offer letter. No hidden charges."""
1515,128,27-04-2012 00:00,c,"""Frugality misplaced. We spend more in areas we should not and save in areas we should not. Employee goodwill and loyalty is compromised as a result."""
1514,130,29-04-2012 00:00,s,"""Good to place to work"""
1514,131,29-04-2012 00:00,p,"""Work culture Fixed off Work life balance No Dress code and access to all websites wifi withing organisation Work from home (Sometimes) Probably the best work culture"""
1514,132,29-04-2012 00:00,c,"""Growth is slow Appraisals can be better Slow hiring process"""
1513,134,30-04-2012 00:00,s,"""Nice company to work for"""
1513,135,30-04-2012 00:00,p,"""Compensation, talented people to work with"""
1517,137,01-05-2012 00:00,s,"""The best working environment."""
1517,138,01-05-2012 00:00,p,"""feel like home, no dress code and best working environment. Satisfied salary"""
1511,140,06-05-2012 00:00,s,"""Nice place to work"""
1511,141,06-05-2012 00:00,p,"""Work hard have fun and make history. Decent pay as compared to its competitors, and one gets to work on latest technologies."""
1511,142,06-05-2012 00:00,c,"""Frugality is one of the things which I don't like about amazon, the company is very particular about the expenses."""
1516,144,06-05-2012 00:00,s,"""Sense of ownership"""
