review_id,sentence_id,Time,sentence_type,sentence
287,52,2011-11-03 00:00:00,s,"""""Awesome, dream company"""""
287,53,2011-11-03 00:00:00,p,"""Nice place to work for. Excellent work culture Free food Ability to switch areas facilities and perks pay package brand name"""
287,54,2011-11-03 00:00:00,c,"""There are if you think but it's best (not one of) company to work for need to be competitive & think ahead as there are best brains you are competing with."""
286,56,2012-03-20 00:00:00,s,"""""Fantastic"""""
286,57,2012-03-20 00:00:00,p,"""Level playing field. Everyone is given a fair chance to present his or his views."""
286,58,2012-03-20 00:00:00,c,"""very brand conscious. They go only to the so called best schools/colleges thus missing out on some real geeks out there in the open"""
285,60,2012-05-02 00:00:00,s,"""""Awesome Place to Work"""""
285,61,2012-05-02 00:00:00,p,"""Food, Environment, Employee relations, Fun Time, Job responsibilites,Friday Party"""
285,62,2012-05-02 00:00:00,c,"""Management, Salary Compensation, vendor contractors,"""
284,64,2012-05-17 00:00:00,s,"""""Best place to work, immense growth and learning opportunities, great work life balance"""""
284,65,2012-05-17 00:00:00,p,"""work life balance great benefits lots of respect, openness and fairness loads of learning and personal growth"""
284,66,2012-05-17 00:00:00,c,"""sometimes monotonous makes you unfit for other organizations. lots of benefits"""
273,68,2012-05-23 00:00:00,s,"""""If you have career aspiration to become a great techie with lots of salaries and benefits, this is your place"""""
273,69,2012-05-23 00:00:00,p,"""1. Rapid career growth atleast 3/4 levels. 2. Lots of cutting edge technologies (today it might be Google's internal one, but it will have industry wise visibility). 3. Lots of smart people around. 4. Lots of fun and facility in office. No other company can match half of that for sure."""
273,70,2012-05-23 00:00:00,c,"""1. Everybody is very very career focused, they mostly dont have any other aspiration in life. So they spent a lot of hour in office. And it creates tremendous peer pressure. 2. 80% of the current employee are college hires in last 1/2/3 years. Also there are lots of food and facilities in office, so they spent days and nights in office, even weekends. 3. If you want a stable work pressure, with stable work life …   balance, and other interest than the job, this is not your place for sure. 4. If you have 5-10 years of experience, and want to join Google, as your career pick, it will be hard to sustain it, coz if you think you will spend stable work hours, and dont need promotion etc, you will be odd man out, and your feedbacks will be bad. 5. Middle management is not that efficient, they all hired/get promoted because they are all great developers, now managing different people, getting most out of them, etc are not their cup of tea. Show More"""
278,72,2012-06-08 00:00:00,s,"""""One of the most absorbing and creative place to work!"""""
278,73,2012-06-08 00:00:00,p,"""- Great work culture - Empowers you with creativity and independence"""
278,74,2012-06-08 00:00:00,c,"""- The frills can spoil you! One should try to maintain a balance while availing them."""
279,76,2012-06-10 00:00:00,s,"""""Technical Project Manager"""""
279,77,2012-06-10 00:00:00,p,"""Openness and freedom of execution"""
282,79,2012-06-10 00:00:00,s,"""""Amazing work-culture & people"""""
282,80,2012-06-10 00:00:00,p,"""- work life balance - conducive environment - employee friendly"""
283,82,2012-06-10 00:00:00,s,"""""awesome with lots of elevances"""""
283,83,2012-06-10 00:00:00,p,"""comfortable working nature with good environment"""
283,84,2012-06-10 00:00:00,c,"""timings are very ackword and irritating"""
281,86,2012-06-14 00:00:00,s,"""""Great place to have fun but no job satisfaction"""""
281,87,2012-06-14 00:00:00,p,"""Great networking, fun place, good perks"""
277,89,2012-06-16 00:00:00,s,"""""Awesome"""""
277,90,2012-06-16 00:00:00,p,"""No. 1 search engine in the world!!"""
